id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,anomaly,cluster
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,-0.3459442419035687,1.8895647194989784,-1.0219610757969426,2.530018127069037,0.22435897249008357,-0.34627913457721105,-0.34592638213768423,0.34905868969869386,0.503116806530604,-0.8109006052501849,0.3931622190541912,-0.09298586763149651,-0.25253506455737523,-1.1041345998476837,-0.39859137664930877,-0.4893580530378185,2018-01-03T00:00:00.000Z,-0.7960464169430663,-0.27243787371565165,2015-03-05T00:00:00.000Z,None,2025-09-20T05:08:59.417Z,1,0
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,-0.3033882541049688,1.8118392003922426,-0.9873183274648429,1.0867304173164483,1.2896146946691325,-0.3025609025939246,-0.30327382670082825,-5.947232844927873,0.8715452835279921,-0.23812296921148324,0.6163030257899873,-0.6819552353734821,-0.6742005900652205,-1.113417083922196,-0.3489524898558726,-1.3505473749649086,2017-12-20T00:00:00.000Z,-0.08265869060421843,-0.17208493040760334,2018-12-16T00:00:00.000Z,None,2025-09-20T05:09:02.765Z,1,0
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,-0.3033882541049688,1.7579569107538318,-0.9526755791327431,1.0442515742854277,-0.7858483298911245,-0.3025609025939246,-0.30327382670082825,0.26662803194425544,0.22564915243028194,-1.2529766979223962,0.174776440950156,-0.6885071095485567,-0.6784383208454836,0.9043797088775835,-0.3489524898558726,0.9226748432487907,2025-08-24T19:25:19.771Z,-0.08265869060421843,-0.41527140255540335,2025-04-09T03:45:31.391Z,None,2025-09-20T05:09:00.783Z,1,2
weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,-0.3033882541049688,1.639183358967372,-0.9180328308006434,0.9506189086902981,0.22441494557138686,-0.3025609025939246,-0.30327382670082825,0.26662803194425544,0.22446784304200834,0.988831180930319,1.14317773300185,-0.6884782748240137,-0.6784196706566742,0.9043797088775835,-0.3489524898558726,0.9115714741058347,2025-08-24T19:28:11.411Z,-0.08265869060421843,2.255706101934775,2018-12-15T00:00:00.000Z,None,2025-09-20T05:09:00.966Z,1,2
hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,-0.34824899218533845,1.3552992729787152,-0.8833900824685437,1.0874367926693462,0.36394309902646527,-0.34853429879434444,-0.348290070926214,0.3495052679742278,0.08663826570400518,-1.267817181010232,0.025694431559357963,-0.09298586763149651,-0.25253506455737523,-1.1041349317101519,-0.4006257879028895,-0.5483776587058616,2021-09-15T10:40:28.318Z,-0.7844894860956827,0.6917460523937295,2020-01-02T17:30:24.852Z,None,2025-09-20T05:08:54.712Z,1,0
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,-0.20306867629788228,0.9927866432962873,-0.8487473341364439,0.5580343836270389,-0.9172762662318847,-0.20646145475135963,-0.20210383642194713,0.30463362440157743,1.0907573349602038,0.5137075070847444,0.8780204205578577,-0.343329468538463,-0.4399867232327462,0.9043797088775835,-0.3370648242885194,1.013619560501275,2025-03-10T09:26:43.294Z,0.1883353101277433,0.036900185535929775,2019-12-24T15:14:35.376Z,None,2025-09-20T05:08:55.570Z,1,2
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,1.4388519078577584,0.9813431614361454,-0.8141045858043442,0.4320620137001156,1.816920339276949,1.4438558884370687,1.4454312478378915,-3.6806088623864133,-0.20140636987792085,-1.3961024157605557,-0.22572383937160695,-0.6608025225681358,-0.6605186927377668,-1.1134053834962299,2.3201936934820715,-0.989062547788137,2021-05-10T03:13:07.904Z,0.6195084199375259,4.600521910869289,2015-01-14T00:00:00.000Z,None,2025-09-20T05:08:56.174Z,-1,1
usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,-0.3363705903158676,0.8362249690109833,-0.7794618374722444,0.3176233193291207,-0.81163427902662,-0.3370346727723685,-0.33623481954309564,0.3560326090310937,1.3169719935909445,2.046463302215337,1.8486445079894749,2.3678246473132383,1.2983852914219627,0.9043797088775835,-0.39738642560040155,1.0359843408848612,2024-10-29T05:40:51.197Z,0.3710864776129296,-0.5266908278234812,2024-10-03T13:19:28.826Z,None,2025-09-20T05:09:00.174Z,1,2
crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,-0.34839474924873776,0.8160719865864537,-0.7448190891401446,3.1782082227550523,-0.7112819666734246,-0.34870665239135606,-0.34841714296721216,0.35234466765716294,0.5658236316875184,-0.1474437500053718,0.4408826962013546,-0.09298586763149651,-0.25253506455737523,-1.0948488793561189,-0.3979947088139829,-1.1073254494778548,2021-11-24T15:53:54.855Z,-0.7817083203459582,0.41305417738394895,2019-02-08T00:00:00.000Z,None,2025-09-20T05:09:03.437Z,1,0
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,-0.30346656759271823,0.7722006349574473,-0.7101763408080449,1.8485836340157076,-0.1951166468396759,-0.3036286742366197,-0.3031155012074341,0.24021218811974498,-0.2934084500192899,-1.2387670317116244,-0.26390847276592216,0.2651378150209314,0.5683252333925114,0.9043797088775835,-0.3496166052506968,-0.6942590248183945,2024-06-15T00:36:51.509Z,-0.15707382915070445,-0.27069982925878006,2021-09-21T00:33:11.092Z,None,2025-09-20T05:09:00.029Z,1,0
